NOM,SEXE,POSSIB. GEN,PARTENAIRE,RESULTAT COUPLE,COULEUR,Parents
1,FEMELLE,A,2,2/2,ORCHIDEE,Mithrandir
2,MALE,B,1,2/2,EBENE,Mithrandir
3,FEMELLE,C,4,2/2,INDIGO,Mithrandir
4,MALE,D,3,2/2,ORCHIDEE,Mithrandir
5,FEMELLE,AB,5+8,2/2,INDIGO,1+2
6,MALE,AB,6+7,2/2,INDIGO,1+2
7,FEMELLE,CD,6+7,2/2,EBENE,3+4
8,MALE,CD,5+8,2/2,ORCHIDEE,3+4
9,FEMELLE,AB,9+12,2/2,EBENE,1+2
10,MALE,AB,10+11,2/2,POURPRE/EBENE,1+2
11,FEMELLE,CD,10+11,2/2,POURPRE/EBENE,3+4
12,MALE,CD,9+12,2/2,ORCHIDEE,3+4
13,FEMELLE,E,13+14,2/2,EBENE,Mithrandir
14,MALE,F,13+14,2/2,POURPRE,Mithrandir
15,FEMELLE,G,15+16,2/2,INDIGO,Mithrandir
16,MALE,H,15+16,2/2,EBENE,Mithrandir
17,FEMELLE,EF,17+20,1/2,EBENE,13+14
18,FEMELLE,GH,18+21,1/2,INDIGO,15+16
19,FEMELLE,ABCD,19+22,1/2,ORCHIDEE,5+8
20,MALE,ABCD,20+17,1/2,ORCHIDEE,5+8
21,MALE,ABCD,21+18,1/2,ORCHIDEE/EBENE,6+7
22,MALE,GH,22++19,1/2,POURPRE/INDIGO,15+16
23,FEMELLE,EF,23+24,1/2,POURPRE/EBENE,13+14
24,MALE,ABCD,24+23,1/2,POURPRE/EBENE,6+7
25,MALE,ABCD,TRADE,0/2,ORCHIDEE,5+8
26,MALE,ABCD,TRADE,0/2,ORCHIDEE,5+8
27,MALE,ABCD,TRADE,0/2,ORCHIDEE,6+7
28,FEMELLE,ABCD,TRADE,0/2,ORCHIDEE/INDIGO,6+7
29,FEMELLE,GH,29+33,0/2,INDIGO,15+16
30,FEMELLE,GH,30+34,0/2,EBENE,15+16
31,FEMELLE,ABCD,31+46,0/2,ORCHIDEE/EBENE,10+11
32,MALE,ABCD,32+45,0/2,EBENE,10+11
33,MALE,EF,29+33,0/2,POURPRE/EBENE,13+14
34,MALE,EF,30+34,0/2,POURPRE/EBENE,13+14
35,FEMELLE,ABCD,35+47,0/2,ORCHIDEE,9+12
36,MALE,ABCD,36+49,0/2,ORCHIDEE,9+12
37,MALE,ABCDEF,37+39,0/2,INDIGO,17+20
38,MALE,ABCDEF,TRADE,0/2,ORCHIDEE/INDIGO,17+20
39,FEMELLE,ABCDGH,39+37,0/2,INDIGO,18+21
40,MALE,ABCDGH,40+50,0/2,INDIGO,18+21
41,FEMELLE,ABCDGH,43+41,0/2,ORCHIDEE,19+22
42,MALE,ABCDGH,VENDU,0/2,INDIGO,19+22
43,MALE,ABCDEF,,0/2,EBENE,23+24
44,MALE,ABCDEF,,0/2,POURPRE,23+24
45,FEMELLE,I,32+45,0/2,POURPRE,Apotheme
46,MALE,I,31+46,0/2,INDIGO,Apotheme
47,MALE,I,35+47,0/2,ORCHIDEE,Apotheme
48,MALE,I,TRADE,0/2,POURPRE,Apotheme
49,FEMELLE,J,49+36,0/2,EBENE,Alf
50,FEMELLE,K,50+40,0/2,POURPRE/INDIGO,Lina
51,FEMELLE,L,51+52,0/2,ORCHIDEE,Sauvage
52,MALE,M,51+52,0/2,POURPRE,Sauvage
53,FEMELLE,N,53+54,0/2,EBENE,Sauvage
54,MALE,O,53+54,0/2,EBENE,Sauvage
55,FEMELLE,LM,55+57,0/2,POURPRE,51+52
56,FEMELLE,LM,56+58,0/2,POURPRE,51+52
57,MALE,NO,55+57,0/2,EBENE,53+54
58,MALE,NO,56+58,0/2,EBENE,53+54
59,MALE,ABCD,TRADE,0/2,INDIGO,9+12
60,MALE,ABCD,,0/2,ORCHIDEE/INDIGO,9+12
